Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,
0.6,0.603186369,0.6,0.694878221,0.6,0.633360744,0.6,0.529306352,0.615182922,0.95,0.592845201,0.95,0.800356507,0.95,1.114492893,0.95,1.141121149,0.912203938
6.47,6.791136742,6.47,7.155456543,6.47,6.47939682,6.47,6.536893845,6.740720988,8,7.792078972,8,7.568928719,8,7.879904747,8,7.574525356,7.703859449
1.93,1.923221588,1.93,2.132944822,1.93,2.437904835,1.93,2.18767643,2.170436919,0.82,2.532011747,0.82,1.765493512,0.82,1.893970251,0.82,2.003698587,2.048793524
0.94,0.899954796,0.94,0.882151484,0.94,0.888971567,0.94,0.821778417,0.873214066,4.7,5.003349304,4.7,5.293745995,4.7,4.951973915,4.7,4.902111053,5.037795067
0.77,0.501696229,0.77,0.781303167,0.77,1.05532968,0.77,0.593611002,0.73298502,0.82,0.956524611,0.82,0.953197122,0.82,0.994696796,0.82,1.156641006,1.015264884
2.16,2.110034227,2.16,2.161535501,2.16,2.212964773,2.16,2.059658527,2.136048257,0.95,0.279556245,0.95,0.871908784,0.95,1.058295608,0.95,1.017532349,0.806823247
9.45,8.724618912,9.45,8.766228676,9.45,8.842953682,9.45,8.902423859,8.809056282,1.1,1.170069456,1.1,1.126092792,1.1,0.862852097,1.1,1.269745111,1.107189864
4.88,5.21831274,4.88,5.385231018,4.88,6.232264519,4.88,5.933729172,5.692384362,0.86,1.519326925,0.86,1.548191309,0.86,1.800378323,0.86,1.938543797,1.701610089
0.59,0.638030767,0.59,0.888596535,0.59,0.860597312,0.59,0.77159977,0.789706096,0.6,0.920295596,0.6,0.925912499,0.6,0.837342441,0.6,0.884728789,0.892069831
1.63,1.80320549,1.63,1.819986463,1.63,1.997822165,1.63,1.757530451,1.844636142,0.95,0.859073162,0.95,0.856392741,0.95,0.896563709,0.95,0.962197125,0.893556684
4.75,4.219957829,4.75,4.444390297,4.75,4.760810852,4.75,4.701968193,4.531781793,0.95,0.788817048,0.95,0.902207255,0.95,0.795539379,0.95,0.93908596,0.856412411
5.73,6.333940506,5.73,6.307573318,5.73,6.30792141,5.73,6.364025116,6.328365088,0.95,1.015665531,0.95,0.905443549,0.95,0.958198547,0.95,0.926343739,0.951412842
4.1,4.431252003,4.1,4.375338078,4.1,4.523076057,4.1,4.28548193,4.403787017,0.95,0.694797873,0.95,1.614819407,0.95,0.596835852,0.95,0.955987036,0.965610042
0.86,0.912740231,0.86,0.319594711,0.86,0.965802312,0.86,0.637962639,0.709024973,5.27,4.157702446,5.27,4.154973984,5.27,4.457948685,5.27,4.767451286,4.3845191
0.85,0.869823456,0.85,0.605062604,0.85,0.914754391,0.85,1.081428528,0.867767245,0.95,0.986980677,0.95,0.806592584,0.95,0.849649191,0.95,0.984271228,0.90687342
0.67,0.691937447,0.67,0.836459041,0.67,1.043895245,0.67,0.769304395,0.835399032,7.44,7.84305954,7.44,7.906252384,7.44,7.865338326,7.44,7.84499836,7.864912153
