Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
6,-2.83,1,0,22,2,2.62
6,-1.22,1,0,22,2,0.86
6,-1.02,1,1,22,3,0.88
6,-2.26,1,1,22,3,2.12
6,-3.68,1,1,22,3,4.35
6,-5.82,1,1,22,3,6.26
6,-7.25,1,1,22,3,7.44
6,-5.94,1,1,22,3,8.71
6,-6.87,1,1,22,3,8.39
6,-2.61,1,0,22,3,2.71
6,-0.616,1,0,22,3,0.97
6,-0.609,1,1,22,1,0.93
6,-7.09,1,1,22,1,3.18
6,-11.9,1,1,22,1,4.7
6,-11.9,1,1,22,1,6.1
6,-14.5,1,1,22,1,7.89
6,-15.7,1,1,22,1,8.02
6,-11.5,1,0,22,1,6.12
6,-9.34,1,0,22,1,4.68
6,-4.53,1,0,22,3,6.5
7,-2.92,1,0,22,3,4.2
7,-4.21,1,0,22,1,2.93
7,-0.516,1,0,22,1,1.1
7,-0.741,1,1,22,1,1.04
7,-3.45,1,1,22,1,3.12
7,-4.91,1,1,22,1,5.27
7,-8.29,1,1,22,1,7.1
7,-5.8,1,0,22,1,5.1
7,-3.37,1,0,22,1,3.62
7,-0.503,1,0,22,1,0.82
7,-0.516,1,1,22,1,0.6
7,-0.516,1,1,22,1,0.56
7,-1.62,1,1,22,1,1.49
7,-1.77,1,1,22,1,1.63
7,-1.92,1,1,22,1,1.88
7,-4.08,1,1,22,1,3.37
7,-4.97,1,1,22,1,3.75
7,-8.19,1,1,22,1,6.15
7,-8.77,1,1,22,1,6.06
7,-6.25,1,1,22,1,6.47
7,-3.82,1,0,22,1,3.64
7,-0.909,1,0,22,1,0.7
7,-1.08,1,1,10.4,1,0.95
7,-0.459,1,1,10.9,1,0.95
7,-0.416,1,1,11,1,0.95
7,-1.22,1,1,15.3,1,0.95
7,-0.416,1,1,15.4,1,0.95
7,-0.422,1,1,15.5,1,0.95
7,-1.25,1,1,20.3,1,0.95
7,-0.578,1,1,20.3,1,0.95
7,-0.528,1,1,20.5,1,0.95
7,-0.528,1,1,24.9,1,0.95
7,-0.422,1,1,24.9,1,0.95
7,-0.428,1,1,24.9,1,0.95
7,-1.23,1,1,30.1,1,0.95
7,-0.372,1,1,29.9,1,0.95
7,-0.322,1,1,29.8,1,0.95
7,-0.734,1,1,35.6,1,0.95
7,-0.353,1,1,35.2,1,0.95
7,-0.253,1,1,34.8,1,0.95
7,-0.716,1,1,40.8,1,0.95
7,-0.303,1,1,39.9,1,0.95
7,-0.316,1,1,40.5,1,0.95
7,-0.334,1,1,46.3,1,0.95
7,-0.213,1,1,45.3,1,0.95
7,-0.0281,1,1,44.9,1,0.95
7,-0.328,1,1,9.9,1,0.95
7,-0.222,1,1,10.2,1,0.95
7,-0.222,1,1,15.2,1,0.95
7,-0.147,1,1,15,1,0.95
7,-0.316,1,1,20,1,0.95
7,-0.178,1,1,20,1,0.95
7,-0.322,1,1,24.8,1,0.95
7,-0.216,1,1,24.8,1,0.95
7,-0.384,1,1,30,1,0.95
7,-0.216,1,1,29.5,1,0.95
7,-0.491,1,1,35,1,0.95
7,-0.216,1,1,34.5,1,0.95
7,-0.334,1,1,40,1,0.95
7,-0.216,1,1,40.2,1,0.95
7,-0.291,1,1,45.2,1,0.95
7,-0.272,1,1,45,1,0.95
7,-12.6,1,0,22,1,6.6
7,-9.8,1,0,22,1,5
7,-4.92,1,0,22,1,3.2
7,-2.11,1,0,22,1,1.3
7,-1.95,0,1,22,1,4.31
7,-1.82,0,1,22,1,4.32
7,-1.55,0,1,22,1,4.36
7,-1.71,0,1,22,1,4.38
7,-2.17,0,1,22,1,4.39
7,-1.42,0,1,22,1,4.4
7,-1.7,0,1,22,1,4.42
7,-1.64,0,1,22,1,4.43
7,-1.65,0,1,22,1,4.5
7,-1.64,0,1,22,1,4.51
7,-1.61,0,1,22,1,4.52
7,-0.616,1,1,22,1,1.04
7,-2.88,1,1,22,1,3.12
7,-4.32,1,1,22,1,5.27
7,-7.03,1,1,22,1,7.1
7,-5.8,1,0,22,1,5.1
7,-2.82,1,0,22,1,3.62
7,-0.409,1,0,22,1,0.82
7,-5.64,1,0,22,1,7.94
