Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 25, 10","MAE: 25, 10"
248,0.38133949786424637,248,0.3788902675857059,,
249,0.37868984043598175,249,0.37883013944078864,,
250,0.3654728829860687,250,0.37482296250437264,,
251,0.3744681477546692,251,0.3747165180794616,,
252,0.37018099427223206,252,0.3733558609372927,,
253,0.3614695370197296,253,0.3697899637620238,,
254,0.36094187945127487,254,0.3671355384687991,,
255,0.42096109688282013,255,0.3832832059930054,,
256,0.35743600875139236,256,0.3755290468205215,,
257,0.3603678122162819,257,0.37098067643924965,,
258,0.3571893870830536,258,0.3668432896323909,,
259,0.36506450176239014,259,0.36630965327139065,,
260,0.36412373185157776,260,0.36565387684544676,,
261,0.38035282492637634,261,0.3700635612697256,,
262,0.3631652146577835,262,0.367994057286143,,
263,0.39547956734895706,263,0.3762397103049872,,
264,0.3703830987215042,264,0.3744827268299423,,
265,0.37647321075201035,265,0.37507987200656273,,
266,0.38263288885354996,266,0.3773457770606589,,
267,0.3687131702899933,267,0.3747559950294592,,
268,0.37123558670282364,268,0.3736998725314685,,
269,0.35606009513139725,269,0.36840793931144716,,
270,0.3838357925415039,270,0.3730362952804642,,
271,0.3648303672671318,271,0.3705745168764645,,
272,0.35761962085962296,272,0.366688048071412,,
273,0.3631431311368942,273,0.36562457299105666,,
274,0.38909731805324554,274,0.37266639650971334,,
275,0.4074559807777405,275,0.3831032717901215,,
276,0.3824993446469307,276,0.38292209364716423,,
277,0.3668183758854866,277,0.37809097831866095,,
278,0.37813540548086166,278,0.3781043064673211,,
279,0.37859298288822174,279,0.3782509093935913,,
280,0.3707299456000328,280,0.37599462025552377,,
281,0.3849044442176819,281,0.3786675674441712,,
282,0.38118986785411835,282,0.37942425756715537,,
283,0.3633743226528168,283,0.3746092770928538,,
284,0.3761165216565132,284,0.3750614504619516,,
285,0.3747173324227333,285,0.3749582150501861,,
286,0.3640754073858261,286,0.3716933727508781,,
287,0.3903324380517006,287,0.37728509234112484,,
288,0.3505666106939316,288,0.36926954784696686,,
289,0.3928693160414696,289,0.3763494783053177,,
290,0.37377259135246277,290,0.37557641221946125,,
291,0.37185138463974,291,0.3744589039455448,,
292,0.39119841903448105,292,0.37948075847222573,,
293,0.3657347857952118,293,0.37535696666912155,,
294,0.388508103787899,294,0.37930230780475477,,
295,0.36664368212223053,295,0.37550472009999747,,
296,0.36665868759155273,296,0.37285091034746404,,
297,0.3674819841980934,297,0.37124023250265287,,
298,0.37475111335515976,298,0.37229349675840495,,
299,0.35383420437574387,299,0.36675570904360666,,
