"Real NN 3 for B,0; ,None - All data","Averages for B,0; ,None","Real NN 3 for B,1; ,None - All data","Averages for B,1; ,None"
0.95,0.970695242,2.28,2.770295143
1.05,0.990421161,6.08,5.78228724
7.62,7.983933568,7.51,7.200091958
2.81,3.531993866,3.2,3.295978427
7.89,7.583785176,6.61,7.442716002
5.27,5.328557253,7.94,6.604921699
4.39,4.617334604,7.51,7.135425329
7.53,5.928685546,0.86,3.382170975
0.95,0.938865528,0.98,1.667673171
6.48,6.093292594,8.84,8.599597692
2.16,2.220675409,6.28,6.580849767
4.4,4.449853063,3.2,3.288753688
4.4,4.509079933,6.61,7.424852848
0.87,0.945462495,0.96,0.970511094
0.95,0.950389221,8.01,8.304249287
1.3,1.455700994,6.61,7.277702689
3.4,3.480961204,4.29,4.115893781
0.8,0.990658507,0.86,0.919216752
2.64,2.622690737,0.9,0.690843001
8.71,7.725456595,7.94,7.524984837
7.44,7.320387721,0.9,0.893525243
0.95,0.95328182,0.96,1.357140422
2.37,2.019465566,6.61,6.815169334
0.82,1.005872697,0.86,0.885679841
4.1,5.699711204,0.96,1.161146104
0.95,0.965736091,3.2,3.192767382
6.55,6.277981043,3.1,2.497440934
0.88,1.153054282,4.67,4.066927969
1.3,1.428192019,0.9,0.673844539
9.45,6.60330832,0.96,0.918122783
4.83,4.940968633,4.29,4.697160959
0.95,0.947620139,0.9,0.676514536
0.95,0.821562991,2.28,1.646297127
0.85,0.714563832,0.96,1.408119202
0.84,1.847903907,2.28,2.471492052
0.95,0.990190461,0.98,0.97871156
5.59,6.382953882,8.84,7.982806444
6.47,6.743065596,2.28,2.617817223
1.42,1.434237421,0.9,0.731911168
4.75,4.786400199,2.28,2.585383177
0.73,0.86571373,6.08,5.683548331
3.75,4.334650815,3.2,3.102114558
0.81,0.892888829,0.9,0.883326277
0.88,0.968766138,4.54,4.701434851
4.88,4.768972158,3.2,3.293580234
0.69,0.817099646,6.28,6.585724473
4.88,5.346047878,2.48,2.751057863
0.95,0.915477589,5,5.870154142
2.64,2.799428225,0.96,1.292736173
4.42,3.876823545,2.62,1.520334184
4.85,4.663084745,4.54,4.25541085
3.6,2.618310511,6.6,6.60570538
0.6,0.943401292,2.48,2.671417415
2.79,2.873764157,4.67,4.894102097
7.44,7.97009778,4.29,4.759150028
0.68,0.904330596,0.96,0.838233344
0.95,0.936452493,4.54,4.156072259
0.95,0.998806491,2.62,1.575013876
6.69,7.042149305,5,4.920487761
0.82,0.808768228,7.51,6.066828012
1.39,2.308591783,0.96,1.080259472
0.95,0.953875169,8.01,8.156847835
5.79,6.005989194,6.61,7.625918865
3.2,4.107105613,8.84,8.251460671
0.95,0.977349058,7.94,7.480680823
5.1,5.838275075,3.2,3.235998631
0.59,0.829416588,4.54,4.294283271
4.36,4.383468866,2.48,2.591725826
0.82,0.823019654,5,5.121614337
4.51,4.190229774,3.2,3.103318512
0.85,0.83342126,6.6,6.75508666
0.86,0.925981894,6.61,6.558818221
4.01,4.214872181,0.86,2.495711207
2.64,2.600158393,0.96,1.038633838
7.44,8.097371697,2.62,1.681019932
5.52,5.573896766,7.94,7.603360295
0.95,0.963841349,6.08,5.947865009
2.62,2.651622772,4.29,3.586058319
0.64,0.632000245,6.08,5.890243292
6.69,6.790701747,6.61,6.540286541
0.93,0.78743358,7.94,6.560402632
0.7,0.832581818,8.01,8.08978641
1.3,1.389318138,0.96,1.04509455
0.86,0.842488512,2.48,3.021932065
0.86,0.892520145,3.2,3.284414589
0.87,0.906590223,0.98,1.640055358
1.1,1.344967231,6.61,6.877945423
0.95,0.968651697,8.84,8.609371185
4.52,4.119457662,6.08,5.676292777
1.5,1.655001462,2.28,2.897619426
0.95,1.010102049,0.98,1.006883174
0.75,0.701704949,6.08,5.662447453
0.56,0.724130034,4.54,4.321429729
0.95,0.934930846,4.67,4.677984118
8.71,8.439148664,0.9,0.925605416
0.97,1.164991811,6.08,5.676957965
1.5,2.089636058,4.67,3.798432887
0.83,1.295010835,4.67,4.298705101
4.35,4.332585931,2.62,1.535373807
0.95,0.951897725,7.94,7.527473092
0.95,0.979627505,5,5.047503352
0.95,0.982165664,6.61,6.677015781
3.2,4.11135298,4.67,4.69550693
0.95,0.9682758,6.08,5.750677943
4.02,4.486548185,0.9,0.547813527
0.56,0.899275377,0.98,1.357430577
7.44,8.017531395,6.28,6.936003804
5.06,4.26220274,2.62,1.43743971
0.95,0.982882008,6.6,6.140441418
0.95,0.947872907,8.84,8.603311181
0.95,0.998549372,3.2,3.252674162
4.75,4.636378407,8.84,9.061149359
2.72,2.629035056,0.98,0.95262371
0.95,0.961807147,0.86,1.282692045
2.64,2.971582592,0.96,0.96866928
3.64,3.54109633,0.98,1.377700031
7.44,7.720704436,0.98,2.639221251
5.1,6.091179013,2.62,1.53294152
7.4,6.53365314,7.51,6.398544431
4.89,4.49810791,4.67,4.348583698
